OfficeHours_ID,OfficeRecordNo,SequenceNo,DayInt,DayOfWeek,StartTime,EndTime,Comments
148,1197,2,2,Monday,12/30/1899,12/30/1899,
149,1197,4,3,Tuesday,12/30/1899,12/30/1899,
150,1197,6,4,Wednesday,12/30/1899,12/30/1899,
151,1197,8,5,Thursday,12/30/1899,12/30/1899,
152,1197,10,6,Friday,12/30/1899,12/30/1899,
153,3195,2,2,Monday,12/30/1899,12/30/1899,
154,3195,4,3,Tuesday,12/30/1899,12/30/1899,
155,3195,6,4,Wednesday,12/30/1899,12/30/1899,
156,3195,8,5,Thursday,12/30/1899,12/30/1899,
157,3195,10,6,Friday,12/30/1899,12/30/1899,
158,3179,2,2,Monday,12/30/1899,12/30/1899,
159,3179,4,3,Tuesday,12/30/1899,12/30/1899,
160,3179,6,4,Wednesday,12/30/1899,12/30/1899,
161,3179,8,5,Thursday,12/30/1899,12/30/1899,
162,3179,10,6,Friday,12/30/1899,12/30/1899,
163,3158,2,2,Monday,12/30/1899,12/30/1899,
164,3158,4,3,Tuesday,12/30/1899,12/30/1899,
165,3158,6,4,Wednesday,12/30/1899,12/30/1899,
166,3158,8,5,Thursday,12/30/1899,12/30/1899,
167,3158,10,6,Friday,12/30/1899,12/30/1899,
168,3158,12,7,Saturday,12/30/1899,12/30/1899,
169,3186,2,2,Monday,12/30/1899,12/30/1899,
170,3186,4,3,Tuesday,12/30/1899,12/30/1899,
171,3186,6,4,Wednesday,12/30/1899,12/30/1899,
172,3186,8,5,Thursday,12/30/1899,12/30/1899,
173,3186,10,6,Friday,12/30/1899,12/30/1899,
174,54833,2,2,Monday,12/30/1899,12/30/1899,
175,54833,4,3,Tuesday,12/30/1899,12/30/1899,
176,54833,6,4,Wednesday,12/30/1899,12/30/1899,
177,54833,8,5,Thursday,12/30/1899,12/30/1899,
178,54833,10,6,Friday,12/30/1899,12/30/1899,
179,3408,2,2,Monday,12/30/1899,12/30/1899,
180,3408,4,3,Tuesday,12/30/1899,12/30/1899,
181,3408,6,4,Wednesday,12/30/1899,12/30/1899,
182,3408,8,5,Thursday,12/30/1899,12/30/1899,
183,3408,10,6,Friday,12/30/1899,12/30/1899,
184,2918,2,2,Monday,12/30/1899,12/30/1899,
